frame_id,object_id,class_id,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,feet_x,feet_y,team_id,has_possession,ball_x,ball_y,ball_interpolated,vx_px,vy_px,speed_px_f,speed_km_h
18,1,2,0.5266,509.7,343.2,535.6,391.2,522.6,391.2,-1,0,,,,0.0,0.0,0.0,0.0
51,2,0,0.5074,603.9,605.4,608.7,614.0,606.3,614.0,-1,0,606.3,609.7,0.0,0.0,0.0,0.0,0.0
52,2,0,0.4568,603.9,605.2,608.7,613.4,606.3,613.4,-1,0,606.3,609.3,0.0,0.0,-0.6,0.6,5.4
53,2,0,0.6355,603.8,605.3,608.6,612.1,606.2,612.1,-1,0,606.2,608.7,0.0,-0.1,-1.3,1.304,11.73
62,3,0,0.6934,596.0,591.6,601.8,599.6,598.9,599.6,-1,0,598.9,595.6,0.0,0.0,0.0,0.0,0.0
63,3,0,0.6018,596.0,590.4,601.2,599.6,598.6,599.6,-1,0,598.6,595.0,0.0,-0.3,0.0,0.3,2.7
86,4,2,0.6052,758.2,646.1,779.4,673.0,768.8,673.0,-1,0,598.3,594.2,1.0,0.0,0.0,0.0,0.0
87,4,2,0.6036,756.6,646.5,776.1,672.6,766.4,672.6,-1,0,598.0,593.5,1.0,-2.4,-0.4,2.433,21.9
88,4,2,0.6577,754.5,646.4,772.9,671.8,763.7,671.8,-1,0,597.7,592.9,1.0,-2.7,-0.8,2.816,25.34
143,6,2,0.8813,624.6,123.5,652.1,154.7,638.3,154.7,0,0,,,,-0.3,-0.3,0.424,3.82
143,7,2,0.8113,364.9,142.6,392.5,174.2,378.7,174.2,0,0,,,,1.6,0.7,1.746,15.72
143,5,2,0.8099,874.2,165.9,903.9,199.3,889.1,199.3,0,0,,,,0.2,1.1,1.118,10.06
143,10,2,0.725,797.4,143.6,818.3,176.7,807.8,176.7,0,0,,,,0.1,1.3,1.304,11.73
143,13,2,0.5742,730.8,132.0,747.6,163.1,739.2,163.1,0,0,,,,0.0,0.0,0.0,0.0
143,11,2,0.5682,560.8,123.1,582.4,154.0,571.6,154.0,0,0,,,,0.1,0.9,0.906,8.15
143,12,2,0.3542,599.9,123.0,607.4,152.8,603.6,152.8,1,0,,,,0.4,0.7,0.806,7.26
144,6,2,0.8783,625.0,123.0,652.6,155.0,638.8,155.0,0,0,,,,0.5,0.3,0.583,5.25
144,5,2,0.8028,872.4,165.9,899.9,198.9,886.2,198.9,0,0,,,,-2.9,-0.4,2.927,26.35
144,7,2,0.7278,366.4,142.3,394.3,174.6,380.3,174.6,0,0,,,,1.6,0.4,1.649,14.84
144,10,2,0.6692,796.9,144.2,817.8,176.8,807.4,176.8,0,0,,,,-0.4,0.1,0.412,3.71
144,13,2,0.5914,730.8,132.3,747.6,163.1,739.2,163.1,0,0,,,,0.0,0.0,0.0,0.0
144,11,2,0.4988,560.9,123.0,583.0,154.3,572.0,154.3,0,0,,,,0.4,0.3,0.5,4.5
145,6,2,0.8785,625.3,123.2,652.9,155.4,639.1,155.4,0,0,,,,0.3,0.4,0.5,4.5
145,7,2,0.8186,367.2,142.6,395.5,174.7,381.4,174.7,0,0,,,,1.1,0.1,1.105,9.94
145,5,2,0.8139,872.0,166.4,899.3,199.4,885.7,199.4,0,0,,,,-0.5,0.5,0.707,6.36
145,10,2,0.6781,796.6,144.8,817.1,177.3,806.9,177.3,0,0,,,,-0.5,0.5,0.707,6.36
145,13,2,0.567,730.8,132.4,747.6,163.4,739.2,163.4,0,0,,,,0.0,0.3,0.3,2.7
